               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.02071,           0.0070398,                   0,             0.97001,             0.97619,             0.99319,             0.87661,            0.015042,           0.0031222,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.022205,           0.0073115,                   0,             0.97123,             0.97619,             0.99319,              0.8801,            0.013956,           0.0031761,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.021269,           0.0075562,                   0,             0.98165,             0.95238,             0.99319,             0.87574,            0.016833,           0.0030207,                   0,            0.002278,            0.002278,            0.002278
                  41,             0.02119,           0.0067121,                   0,             0.98915,             0.95238,             0.99319,             0.90686,            0.012748,           0.0029402,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.020539,           0.0075767,                   0,             0.99245,             0.95238,             0.99319,             0.87185,            0.012948,           0.0030944,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.017876,           0.0069626,                   0,             0.95374,             0.98187,             0.99361,             0.89372,            0.013627,           0.0030171,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.019931,           0.0070199,                   0,             0.95891,             0.97619,             0.99361,             0.89949,            0.014098,           0.0029173,                   0,            0.001486,            0.001486,            0.001486
                  45,             0.01647,           0.0068749,                   0,              0.9765,              0.9895,             0.99407,             0.90783,            0.013996,           0.0028313,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.015034,           0.0064853,                   0,             0.97661,             0.99412,             0.99453,             0.91451,            0.012248,           0.0028208,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.015558,           0.0066214,                   0,             0.97642,             0.98623,             0.99453,               0.926,             0.01275,           0.0027731,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.014742,           0.0070505,                   0,              0.9764,             0.98499,             0.99453,             0.92623,            0.011841,           0.0027766,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.014379,           0.0066903,                   0,             0.97632,             0.98187,             0.99453,             0.92121,            0.010339,           0.0027874,                   0,            0.000496,            0.000496,            0.000496
