               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11471,            0.031195,                   0,           0.0044925,              0.2625,           0.0066785,           0.0019154,            0.098024,            0.022249,                   0,              0.0856,              0.0016,              0.0016
                   1,            0.092394,            0.028875,                   0,           0.0027451,                 0.7,           0.0089204,           0.0021104,            0.083114,            0.018376,                   0,            0.070235,           0.0032347,           0.0032347
                   2,            0.082264,            0.026858,                   0,              0.4007,             0.14218,             0.23452,            0.074921,            0.070219,            0.015486,                   0,            0.054802,            0.004802,            0.004802
                   3,            0.069119,            0.024788,                   0,              0.3382,              0.2875,             0.27366,            0.088575,            0.072381,            0.013864,                   0,            0.039302,            0.006302,            0.006302
                   4,            0.063897,            0.021908,                   0,             0.67685,             0.57601,             0.58723,             0.27068,            0.071946,            0.012706,                   0,            0.023735,           0.0077347,           0.0077347
                   5,            0.064562,            0.020648,                   0,             0.56776,              0.6125,             0.61507,             0.24122,            0.066184,            0.012559,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.059784,            0.019789,                   0,              0.4306,                0.55,             0.45128,             0.12161,            0.064531,            0.011265,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.054679,            0.019493,                   0,             0.46382,                0.75,             0.56593,             0.25494,            0.061081,            0.010167,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.051026,            0.017184,                   0,             0.54553,             0.64523,             0.61956,             0.36769,            0.046908,           0.0095282,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.045585,            0.016038,                   0,             0.66498,                0.65,             0.73415,             0.50701,            0.051477,           0.0078686,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.041324,            0.014581,                   0,             0.83291,               0.775,             0.83833,              0.5389,            0.045327,           0.0077015,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.040713,            0.013458,                   0,             0.79553,             0.77817,             0.81104,             0.41869,            0.040762,           0.0078397,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.036814,            0.014127,                   0,             0.89745,                 0.8,             0.84909,             0.56893,            0.036524,           0.0074723,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.037431,            0.013805,                   0,              0.9141,             0.79815,             0.85421,             0.60662,             0.03664,           0.0074584,                   0,            0.007624,            0.007624,            0.007624
                  14,             0.03728,            0.014435,                   0,               0.929,              0.8125,             0.87211,             0.51382,            0.035345,           0.0074766,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.034576,            0.012207,                   0,             0.95582,             0.81137,             0.89273,             0.68885,            0.033835,           0.0065991,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.033982,            0.013165,                   0,             0.98328,               0.825,             0.90334,             0.64904,            0.032154,           0.0065817,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.031331,            0.011641,                   0,             0.95439,               0.825,             0.88627,             0.67742,            0.037253,           0.0065616,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.030829,            0.012104,                   0,             0.95761,             0.84723,             0.93195,             0.68798,            0.033908,           0.0063898,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.029387,            0.011876,                   0,             0.95827,             0.86114,             0.93824,             0.70786,             0.02805,           0.0060786,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.028774,            0.011686,                   0,             0.94499,             0.85894,             0.94211,              0.7117,            0.026305,           0.0061661,                   0,            0.006238,            0.006238,            0.006238
                  21,             0.02795,            0.011018,                   0,             0.99929,               0.825,               0.925,             0.72729,            0.029202,           0.0060148,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.027142,            0.010769,                   0,              0.9838,               0.825,             0.94489,             0.73453,            0.024341,           0.0059774,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.025649,           0.0099374,                   0,             0.95246,                0.85,             0.95541,             0.74205,            0.023549,           0.0058643,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.025387,            0.011592,                   0,             0.93281,             0.86779,             0.96487,             0.71492,            0.023091,           0.0055919,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.024785,            0.010566,                   0,              0.9583,             0.86173,             0.96778,             0.75564,            0.021859,           0.0054285,                   0,            0.005248,            0.005248,            0.005248
                  26,             0.02362,           0.0096153,                   0,             0.91595,                 0.9,             0.97234,             0.77098,            0.022076,           0.0053087,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.02415,            0.010014,                   0,             0.92304,              0.8995,             0.97672,             0.79213,            0.018133,           0.0052893,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.023612,            0.010403,                   0,             0.91545,               0.925,             0.97871,             0.82851,            0.017596,           0.0050352,                   0,            0.004654,            0.004654,            0.004654
                  29,             0.02316,            0.010321,                   0,             0.94309,              0.8875,             0.97442,             0.78861,            0.019608,           0.0053418,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.021751,            0.009493,                   0,             0.92201,              0.9375,             0.98282,             0.77184,            0.021363,           0.0052271,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.021674,           0.0087883,                   0,             0.95987,             0.89691,             0.98023,             0.77244,            0.021306,           0.0051178,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.021738,           0.0092566,                   0,             0.95935,             0.88496,             0.97526,             0.78772,            0.019344,           0.0051592,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.020269,           0.0092981,                   0,             0.95941,             0.88649,             0.97754,             0.79793,            0.020004,           0.0051339,                   0,            0.003664,            0.003664,            0.003664
                  34,             0.02013,           0.0086433,                   0,             0.94726,             0.89798,             0.97724,             0.81146,             0.01719,           0.0049484,                   0,            0.003466,            0.003466,            0.003466
                  35,              0.0193,           0.0092691,                   0,              0.9477,             0.90598,             0.98315,             0.84665,            0.015074,           0.0048002,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.019148,           0.0082042,                   0,             0.90661,               0.975,             0.98385,             0.85824,            0.016629,           0.0047355,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.017229,           0.0086428,                   0,              0.9174,             0.97179,             0.98441,             0.84198,            0.017257,           0.0047194,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.017756,           0.0081752,                   0,             0.89738,             0.98377,             0.98347,             0.85896,            0.016651,           0.0046188,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.018583,           0.0078204,                   0,             0.91685,             0.96489,             0.98416,             0.83871,            0.018821,           0.0045877,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.017791,           0.0086346,                   0,             0.92928,             0.98554,             0.98491,             0.84013,            0.017303,           0.0044232,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.016992,           0.0084785,                   0,             0.92888,             0.97959,             0.98555,             0.86067,            0.015694,            0.004494,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.017199,            0.008069,                   0,              0.9097,              0.9875,             0.98576,             0.86202,            0.015039,           0.0045198,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.016218,           0.0080319,                   0,             0.93998,             0.97889,             0.98724,             0.86173,            0.015048,           0.0042844,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.015811,           0.0071926,                   0,             0.93641,              0.9875,             0.98823,             0.87622,            0.013392,           0.0041795,                   0,            0.001486,            0.001486,            0.001486
